"Sample Number", "Language", "Time", "Number of Partitioning Stages", "Number of Exchanges", "Number of Compares"
1, Python2.7, 0.316, 211429, 765087, 2163828
2, Python2.7, 0.345, 211429, 764437, 2163828
3, Python2.7, 0.318, 211429, 764804, 2163828
4, Python2.7, 0.314, 211429, 764033, 2163828
5, Python2.7, 0.347, 211429, 764754, 2163828
6, Python2.7, 0.318, 211429, 765453, 2163828
7, Python2.7, 0.315, 211429, 764622, 2163828
8, Python2.7, 0.335, 211429, 764986, 2163828
9, Python2.7, 0.326, 211429, 765373, 2163828
10, Python2.7, 0.336, 211429, 765208, 2163828
11, Python2.7, 0.319, 211429, 765163, 2163828
12, Python2.7, 0.320, 211429, 764494, 2163828
13, Python2.7, 0.323, 211429, 765074, 2163828
14, Python2.7, 0.329, 211429, 764991, 2163828
15, Python2.7, 0.323, 211429, 764899, 2163828
16, Python2.7, 0.318, 211429, 764444, 2163828
17, Python2.7, 0.314, 211429, 764255, 2163828
18, Python2.7, 0.313, 211429, 765506, 2163828
19, Python2.7, 0.333, 211429, 765363, 2163828
20, Python2.7, 0.315, 211429, 764861, 2163828
21, Python2.7, 0.321, 211429, 764644, 2163828
22, Python2.7, 0.316, 211429, 765534, 2163828
23, Python2.7, 0.314, 211429, 764356, 2163828
24, Python2.7, 0.315, 211429, 764902, 2163828
25, Python2.7, 0.334, 211429, 764571, 2163828
26, Python2.7, 0.319, 211429, 763979, 2163828
27, Python2.7, 0.322, 211429, 765495, 2163828
28, Python2.7, 0.380, 211429, 764112, 2163828
29, Python2.7, 0.318, 211429, 764633, 2163828
30, Python2.7, 0.316, 211429, 764313, 2163828
31, Python2.7, 0.315, 211429, 765403, 2163828
32, Python2.7, 0.344, 211429, 764458, 2163828
33, Python2.7, 0.333, 211429, 765359, 2163828
34, Python2.7, 0.319, 211429, 765041, 2163828
35, Python2.7, 0.331, 211429, 764984, 2163828
36, Python2.7, 0.332, 211429, 764669, 2163828
37, Python2.7, 0.323, 211429, 765138, 2163828
38, Python2.7, 0.327, 211429, 765389, 2163828
39, Python2.7, 0.386, 211429, 764788, 2163828
40, Python2.7, 0.319, 211429, 765158, 2163828
41, Python2.7, 0.352, 211429, 763919, 2163828
42, Python2.7, 0.344, 211429, 764615, 2163828
43, Python2.7, 0.316, 211429, 765121, 2163828
44, Python2.7, 0.314, 211429, 764684, 2163828
45, Python2.7, 0.329, 211429, 764114, 2163828
46, Python2.7, 0.328, 211429, 764551, 2163828
47, Python2.7, 0.331, 211429, 764660, 2163828
48, Python2.7, 0.340, 211429, 764039, 2163828
49, Python2.7, 0.377, 211429, 764223, 2163828
50, Python2.7, 0.323, 211429, 764651, 2163828
51, Python2.7, 0.317, 211429, 765885, 2163828
52, Python2.7, 0.315, 211429, 764648, 2163828
53, Python2.7, 0.314, 211429, 765726, 2163828
54, Python2.7, 0.313, 211429, 764485, 2163828
55, Python2.7, 0.316, 211429, 764623, 2163828
56, Python2.7, 0.314, 211429, 764770, 2163828
57, Python2.7, 0.314, 211429, 765041, 2163828
58, Python2.7, 0.315, 211429, 764816, 2163828
59, Python2.7, 0.312, 211429, 764698, 2163828
60, Python2.7, 0.321, 211429, 764006, 2163828
61, Python2.7, 0.349, 211429, 765212, 2163828
62, Python2.7, 0.323, 211429, 765144, 2163828
63, Python2.7, 0.358, 211429, 764960, 2163828
64, Python2.7, 0.323, 211429, 764590, 2163828
65, Python2.7, 0.336, 211429, 764899, 2163828
66, Python2.7, 0.337, 211429, 765954, 2163828
67, Python2.7, 0.435, 211429, 764598, 2163828
68, Python2.7, 0.497, 211429, 765251, 2163828
69, Python2.7, 0.323, 211429, 764742, 2163828
70, Python2.7, 0.315, 211429, 764730, 2163828
71, Python2.7, 0.317, 211429, 764573, 2163828
72, Python2.7, 0.337, 211429, 764382, 2163828
73, Python2.7, 0.316, 211429, 765506, 2163828
74, Python2.7, 0.317, 211429, 765649, 2163828
75, Python2.7, 0.326, 211429, 764778, 2163828
76, Python2.7, 0.321, 211429, 764449, 2163828
77, Python2.7, 0.339, 211429, 764721, 2163828
78, Python2.7, 0.372, 211429, 765768, 2163828
79, Python2.7, 0.315, 211429, 763620, 2163828
80, Python2.7, 0.324, 211429, 764399, 2163828
81, Python2.7, 0.317, 211429, 764087, 2163828
82, Python2.7, 0.318, 211429, 764788, 2163828
83, Python2.7, 0.315, 211429, 765364, 2163828
84, Python2.7, 0.342, 211429, 763780, 2163828
85, Python2.7, 0.354, 211429, 765105, 2163828
86, Python2.7, 0.335, 211429, 764320, 2163828
87, Python2.7, 0.316, 211429, 764976, 2163828
88, Python2.7, 0.319, 211429, 764067, 2163828
89, Python2.7, 0.437, 211429, 764913, 2163828
90, Python2.7, 0.314, 211429, 764312, 2163828
91, Python2.7, 0.325, 211429, 765327, 2163828
92, Python2.7, 0.317, 211429, 764605, 2163828
93, Python2.7, 0.313, 211429, 764509, 2163828
94, Python2.7, 0.351, 211429, 765262, 2163828
95, Python2.7, 0.375, 211429, 764613, 2163828
96, Python2.7, 0.343, 211429, 765316, 2163828
97, Python2.7, 0.356, 211429, 765812, 2163828
98, Python2.7, 0.324, 211429, 765206, 2163828
99, Python2.7, 0.314, 211429, 765007, 2163828
100, Python2.7, 0.364, 211429, 764606, 2163828
101, Python2.7, 0.324, 211429, 764345, 2163828
102, Python2.7, 0.325, 211429, 764481, 2163828
103, Python2.7, 0.321, 211429, 764709, 2163828
104, Python2.7, 0.313, 211429, 763917, 2163828
105, Python2.7, 0.320, 211429, 764538, 2163828
106, Python2.7, 0.313, 211429, 765547, 2163828
107, Python2.7, 0.333, 211429, 764161, 2163828
108, Python2.7, 0.382, 211429, 765600, 2163828
109, Python2.7, 0.332, 211429, 764954, 2163828
110, Python2.7, 0.315, 211429, 765601, 2163828
111, Python2.7, 0.371, 211429, 763837, 2163828
112, Python2.7, 0.314, 211429, 763935, 2163828
113, Python2.7, 0.333, 211429, 764294, 2163828
114, Python2.7, 0.340, 211429, 764371, 2163828
115, Python2.7, 0.335, 211429, 765233, 2163828
116, Python2.7, 0.334, 211429, 765103, 2163828
117, Python2.7, 0.335, 211429, 764398, 2163828
118, Python2.7, 0.326, 211429, 764040, 2163828
119, Python2.7, 0.347, 211429, 764498, 2163828
120, Python2.7, 0.337, 211429, 764061, 2163828
121, Python2.7, 0.316, 211429, 764254, 2163828
122, Python2.7, 0.313, 211429, 764798, 2163828
123, Python2.7, 0.311, 211429, 764637, 2163828
124, Python2.7, 0.314, 211429, 764566, 2163828
125, Python2.7, 0.329, 211429, 764612, 2163828
126, Python2.7, 0.339, 211429, 764596, 2163828
127, Python2.7, 0.342, 211429, 764138, 2163828
128, Python2.7, 0.355, 211429, 765475, 2163828
129, Python2.7, 0.395, 211429, 765272, 2163828
130, Python2.7, 0.326, 211429, 764702, 2163828
131, Python2.7, 0.464, 211429, 764390, 2163828
132, Python2.7, 0.350, 211429, 765225, 2163828
133, Python2.7, 0.322, 211429, 765305, 2163828
134, Python2.7, 0.327, 211429, 764773, 2163828
135, Python2.7, 0.321, 211429, 764761, 2163828
136, Python2.7, 0.325, 211429, 765397, 2163828
137, Python2.7, 0.325, 211429, 765307, 2163828
138, Python2.7, 0.351, 211429, 764505, 2163828
139, Python2.7, 0.346, 211429, 764557, 2163828
140, Python2.7, 0.329, 211429, 765634, 2163828
141, Python2.7, 0.319, 211429, 764129, 2163828
142, Python2.7, 0.354, 211429, 765685, 2163828
143, Python2.7, 0.370, 211429, 764602, 2163828
144, Python2.7, 0.336, 211429, 763829, 2163828
145, Python2.7, 0.342, 211429, 764909, 2163828
146, Python2.7, 0.385, 211429, 765383, 2163828
147, Python2.7, 0.341, 211429, 765314, 2163828
148, Python2.7, 0.329, 211429, 764823, 2163828
149, Python2.7, 0.337, 211429, 765653, 2163828
150, Python2.7, 0.331, 211429, 765747, 2163828
151, Python2.7, 0.342, 211429, 765097, 2163828
152, Python2.7, 0.385, 211429, 764022, 2163828
153, Python2.7, 0.376, 211429, 765191, 2163828
154, Python2.7, 0.527, 211429, 764866, 2163828
155, Python2.7, 0.385, 211429, 764853, 2163828
156, Python2.7, 0.445, 211429, 764600, 2163828
157, Python2.7, 0.333, 211429, 764923, 2163828
158, Python2.7, 0.354, 211429, 764984, 2163828
159, Python2.7, 0.331, 211429, 764949, 2163828
160, Python2.7, 0.359, 211429, 764454, 2163828
161, Python2.7, 0.348, 211429, 764313, 2163828
162, Python2.7, 0.349, 211429, 765109, 2163828
163, Python2.7, 0.347, 211429, 765033, 2163828
164, Python2.7, 0.379, 211429, 765210, 2163828
165, Python2.7, 0.331, 211429, 764804, 2163828
166, Python2.7, 0.326, 211429, 764522, 2163828
167, Python2.7, 0.366, 211429, 765328, 2163828
168, Python2.7, 0.331, 211429, 764303, 2163828
169, Python2.7, 0.341, 211429, 764988, 2163828
170, Python2.7, 0.332, 211429, 764540, 2163828
171, Python2.7, 0.342, 211429, 764487, 2163828
172, Python2.7, 0.356, 211429, 764776, 2163828
173, Python2.7, 0.337, 211429, 763929, 2163828
174, Python2.7, 0.341, 211429, 764669, 2163828
