"Sample Number", "Language", "Time", "Number of Recursive Calls", "Number of Transitions", "Number of Compares"
1, Python2.7, 0.203, 16716, 513503, 2089911
2, Python2.7, 0.202, 16695, 515590, 2043452
3, Python2.7, 0.206, 16727, 515198, 2017902
4, Python2.7, 0.197, 16724, 514132, 2078433
5, Python2.7, 0.194, 16693, 510287, 2181099
6, Python2.7, 0.200, 16731, 512713, 2161067
7, Python2.7, 0.193, 16704, 512968, 2102807
8, Python2.7, 0.203, 16623, 513599, 2081053
9, Python2.7, 0.196, 16742, 511072, 2104824
10, Python2.7, 0.200, 16781, 513094, 2052020
11, Python2.7, 0.200, 16703, 512743, 2087385
12, Python2.7, 0.197, 16748, 516157, 2045762
13, Python2.7, 0.197, 16711, 514710, 2021565
14, Python2.7, 0.205, 16746, 513526, 2073230
15, Python2.7, 0.199, 16713, 516231, 2036725
16, Python2.7, 0.195, 16741, 514445, 2068787
17, Python2.7, 0.201, 16721, 509789, 2243753
18, Python2.7, 0.197, 16694, 513962, 2185744
19, Python2.7, 0.195, 16720, 509375, 2301139
20, Python2.7, 0.195, 16724, 508344, 2262191
21, Python2.7, 0.201, 16727, 512491, 2066787
22, Python2.7, 0.206, 16632, 516091, 2002635
23, Python2.7, 0.200, 16722, 513383, 2037857
24, Python2.7, 0.196, 16704, 508120, 2225350
25, Python2.7, 0.202, 16686, 516636, 1989174
26, Python2.7, 0.208, 16587, 518358, 1952443
27, Python2.7, 0.208, 16748, 510782, 2145868
28, Python2.7, 0.205, 16731, 507056, 2236992
29, Python2.7, 0.207, 16747, 514656, 2056642
30, Python2.7, 0.202, 16750, 513805, 2045765
31, Python2.7, 0.206, 16749, 513084, 2085961
32, Python2.7, 0.224, 16776, 510307, 2113723
33, Python2.7, 0.202, 16732, 511628, 2138551
34, Python2.7, 0.221, 16732, 514175, 2206334
35, Python2.7, 0.197, 16705, 512786, 2101892
36, Python2.7, 0.199, 16637, 514573, 2061700
37, Python2.7, 0.201, 16683, 515601, 1999868
38, Python2.7, 0.202, 16710, 515611, 2000582
39, Python2.7, 0.198, 16725, 518190, 1989282
40, Python2.7, 0.205, 16681, 513068, 2067878
41, Python2.7, 0.202, 16706, 515001, 2186833
42, Python2.7, 0.199, 16835, 509813, 2070284
43, Python2.7, 0.205, 16708, 513912, 2080270
44, Python2.7, 0.197, 16737, 513840, 2037322
45, Python2.7, 0.201, 16732, 512643, 2089452
46, Python2.7, 0.199, 16628, 511208, 2162319
47, Python2.7, 0.203, 16731, 512403, 2061743
48, Python2.7, 0.201, 16663, 516778, 2013083
49, Python2.7, 0.201, 16808, 511571, 2083563
50, Python2.7, 0.202, 16751, 515459, 2011116
51, Python2.7, 0.202, 16780, 514733, 2029429
52, Python2.7, 0.202, 16698, 514048, 2095075
53, Python2.7, 0.197, 16694, 514260, 2021289
54, Python2.7, 0.203, 16689, 506796, 2190785
55, Python2.7, 0.202, 16737, 511906, 2098461
56, Python2.7, 0.199, 16657, 516552, 1995314
57, Python2.7, 0.210, 16736, 504224, 2271039
58, Python2.7, 0.210, 16803, 514752, 2024391
59, Python2.7, 0.202, 16741, 513524, 2113782
60, Python2.7, 0.262, 16706, 510970, 2137476
61, Python2.7, 0.195, 16709, 509715, 2200200
62, Python2.7, 0.201, 16744, 512603, 2104596
63, Python2.7, 0.201, 16805, 512960, 2040318
64, Python2.7, 0.204, 16688, 512900, 2097396
65, Python2.7, 0.203, 16658, 512138, 2140007
66, Python2.7, 0.197, 16646, 513179, 2057158
67, Python2.7, 0.199, 16763, 514646, 2040345
68, Python2.7, 0.197, 16796, 508491, 2163115
69, Python2.7, 0.198, 16665, 508716, 2182646
70, Python2.7, 0.197, 16749, 511641, 2109613
71, Python2.7, 0.221, 16782, 513879, 2046445
72, Python2.7, 0.204, 16735, 515759, 2068940
73, Python2.7, 0.204, 16755, 511246, 2103491
74, Python2.7, 0.198, 16714, 516185, 2027983
75, Python2.7, 0.203, 16769, 510996, 2137855
76, Python2.7, 0.200, 16694, 508121, 2209542
77, Python2.7, 0.195, 16653, 513639, 2084230
78, Python2.7, 0.214, 16677, 512963, 2103503
79, Python2.7, 0.193, 16720, 511318, 2093168
80, Python2.7, 0.199, 16701, 516908, 1992694
81, Python2.7, 0.199, 16736, 515494, 2050542
82, Python2.7, 0.195, 16654, 514315, 2052423
83, Python2.7, 0.203, 16744, 513152, 2073359
84, Python2.7, 0.198, 16715, 512533, 2139008
85, Python2.7, 0.196, 16693, 513137, 2104706
86, Python2.7, 0.198, 16757, 513393, 2079685
87, Python2.7, 0.202, 16710, 513948, 2109546
88, Python2.7, 0.195, 16713, 510554, 2104283
89, Python2.7, 0.201, 16679, 514311, 2079504
90, Python2.7, 0.198, 16682, 516619, 1974353
91, Python2.7, 0.200, 16723, 516608, 2016279
92, Python2.7, 0.199, 16712, 510081, 2090933
93, Python2.7, 0.199, 16767, 512735, 2096196
94, Python2.7, 0.196, 16686, 509807, 2120330
95, Python2.7, 0.195, 16767, 505035, 2295015
96, Python2.7, 0.197, 16659, 512952, 2095402
97, Python2.7, 0.194, 16746, 514764, 2054528
98, Python2.7, 0.207, 16767, 514805, 2021172
99, Python2.7, 0.198, 16678, 518266, 1978189
100, Python2.7, 0.198, 16763, 509110, 2125717
101, Python2.7, 0.205, 16781, 508826, 2133790
102, Python2.7, 0.198, 16645, 513954, 2086055
103, Python2.7, 0.195, 16702, 509941, 2191823
104, Python2.7, 0.194, 16724, 515813, 2079129
105, Python2.7, 0.202, 16744, 516411, 1999299
106, Python2.7, 0.208, 16808, 512508, 2059009
107, Python2.7, 0.195, 16688, 514684, 2038192
108, Python2.7, 0.202, 16656, 515236, 2044782
109, Python2.7, 0.196, 16725, 512671, 2047258
110, Python2.7, 0.200, 16693, 514226, 2110239
111, Python2.7, 0.198, 16714, 509068, 2163474
112, Python2.7, 0.195, 16724, 514765, 2013840
113, Python2.7, 0.195, 16612, 514269, 2087584
114, Python2.7, 0.193, 16830, 516065, 1991554
115, Python2.7, 0.199, 16672, 510146, 2129101
116, Python2.7, 0.198, 16739, 515693, 1985307
117, Python2.7, 0.195, 16739, 512236, 2108342
118, Python2.7, 0.196, 16737, 511374, 2048383
119, Python2.7, 0.198, 16823, 516222, 1986968
120, Python2.7, 0.205, 16691, 513343, 2065585
121, Python2.7, 0.198, 16728, 509463, 2104210
122, Python2.7, 0.197, 16680, 516256, 1998037
123, Python2.7, 0.195, 16737, 511767, 2135289
124, Python2.7, 0.199, 16767, 510376, 2191790
125, Python2.7, 0.201, 16730, 507305, 2130381
126, Python2.7, 0.203, 16704, 514290, 2060683
127, Python2.7, 0.196, 16724, 512194, 2125521
128, Python2.7, 0.195, 16715, 514352, 2066686
129, Python2.7, 0.196, 16718, 514482, 2026275
130, Python2.7, 0.192, 16730, 515370, 2037966
131, Python2.7, 0.198, 16718, 515199, 2067450
132, Python2.7, 0.195, 16773, 513149, 2050126
133, Python2.7, 0.194, 16664, 512994, 2115920
134, Python2.7, 0.196, 16697, 512489, 2125099
135, Python2.7, 0.198, 16678, 517258, 1986592
136, Python2.7, 0.197, 16671, 514780, 2115008
137, Python2.7, 0.196, 16771, 510804, 2136901
138, Python2.7, 0.199, 16774, 514294, 2057525
139, Python2.7, 0.196, 16684, 509986, 2108415
140, Python2.7, 0.198, 16736, 509974, 2134277
141, Python2.7, 0.198, 16716, 510097, 2205783
142, Python2.7, 0.197, 16695, 512870, 2054012
143, Python2.7, 0.198, 16747, 516121, 2048369
144, Python2.7, 0.193, 16791, 516663, 1977595
145, Python2.7, 0.199, 16719, 511910, 2149687
146, Python2.7, 0.195, 16694, 513708, 2051872
147, Python2.7, 0.195, 16718, 512341, 2062475
148, Python2.7, 0.195, 16670, 511109, 2123180
149, Python2.7, 0.198, 16712, 511424, 2086983
150, Python2.7, 0.195, 16696, 511811, 2101947
151, Python2.7, 0.195, 16747, 514143, 2002739
152, Python2.7, 0.194, 16707, 511058, 2104521
153, Python2.7, 0.195, 16661, 513857, 2027633
154, Python2.7, 0.192, 16684, 515697, 2014715
155, Python2.7, 0.194, 16753, 512618, 2097670
156, Python2.7, 0.196, 16735, 516256, 2000121
157, Python2.7, 0.197, 16811, 512131, 2077855
158, Python2.7, 0.204, 16731, 511746, 2057330
159, Python2.7, 0.201, 16786, 511977, 2133245
160, Python2.7, 0.196, 16700, 515870, 2008406
161, Python2.7, 0.195, 16767, 513089, 2090498
162, Python2.7, 0.194, 16722, 510910, 2122378
163, Python2.7, 0.195, 16661, 514702, 2012009
164, Python2.7, 0.195, 16631, 515143, 2038677
165, Python2.7, 0.197, 16721, 517583, 1966502
166, Python2.7, 0.201, 16692, 513060, 2058779
167, Python2.7, 0.194, 16636, 511040, 2161354
168, Python2.7, 0.197, 16769, 511563, 2122796
169, Python2.7, 0.201, 16703, 513320, 2056559
170, Python2.7, 0.195, 16692, 515306, 2100474
171, Python2.7, 0.196, 16705, 514508, 2002906
172, Python2.7, 0.196, 16709, 512174, 2109075
173, Python2.7, 0.194, 16705, 511956, 2059437
174, Python2.7, 0.197, 16590, 516578, 2001098
175, Python2.7, 0.194, 16894, 509068, 2131760
176, Python2.7, 0.194, 16666, 512773, 2049478
177, Python2.7, 0.192, 16721, 515339, 2055785
178, Python2.7, 0.195, 16756, 512917, 2055371
179, Python2.7, 0.197, 16681, 515025, 2072170
180, Python2.7, 0.202, 16721, 516179, 2061590
181, Python2.7, 0.197, 16705, 516354, 2009689
182, Python2.7, 0.195, 16784, 510038, 2091373
183, Python2.7, 0.195, 16735, 512875, 2021782
184, Python2.7, 0.196, 16645, 517174, 1981179
185, Python2.7, 0.195, 16697, 512237, 2133351
186, Python2.7, 0.196, 16759, 515467, 2009343
187, Python2.7, 0.199, 16693, 515245, 2005197
188, Python2.7, 0.192, 16701, 514342, 2021857
189, Python2.7, 0.194, 16711, 513662, 2068867
190, Python2.7, 0.196, 16783, 514880, 2019660
191, Python2.7, 0.204, 16718, 515330, 2015227
192, Python2.7, 0.202, 16721, 511358, 2156892
193, Python2.7, 0.196, 16691, 513205, 2090172
194, Python2.7, 0.203, 16767, 509806, 2199591
195, Python2.7, 0.206, 16656, 509043, 2139166
196, Python2.7, 0.205, 16803, 513185, 2225015
197, Python2.7, 0.206, 16743, 513875, 2034309
198, Python2.7, 0.201, 16736, 514244, 2034414
199, Python2.7, 0.213, 16767, 514950, 2010974
200, Python2.7, 0.199, 16683, 513936, 2022746
201, Python2.7, 0.208, 16732, 510955, 2132459
202, Python2.7, 0.208, 16737, 513011, 2066291
203, Python2.7, 0.198, 16741, 510952, 2121599
204, Python2.7, 0.205, 16710, 513343, 2044457
205, Python2.7, 0.209, 16811, 514209, 2031479
206, Python2.7, 0.204, 16623, 516798, 1988246
207, Python2.7, 0.205, 16786, 514293, 2019421
208, Python2.7, 0.197, 16680, 515541, 2046354
209, Python2.7, 0.195, 16737, 517554, 2001951
210, Python2.7, 0.195, 16670, 509953, 2177389
211, Python2.7, 0.214, 16672, 513635, 2068424
212, Python2.7, 0.193, 16747, 512492, 2099519
213, Python2.7, 0.197, 16657, 515030, 2021228
214, Python2.7, 0.193, 16686, 512881, 2085587
215, Python2.7, 0.195, 16727, 510493, 2129320
216, Python2.7, 0.193, 16633, 514492, 2089662
217, Python2.7, 0.193, 16726, 515772, 2090674
218, Python2.7, 0.195, 16720, 510043, 2096403
219, Python2.7, 0.195, 16736, 509573, 2191870
220, Python2.7, 0.197, 16690, 510647, 2185908
221, Python2.7, 0.193, 16711, 512752, 2112796
222, Python2.7, 0.217, 16707, 515827, 2028013
223, Python2.7, 0.195, 16760, 511720, 2070880
224, Python2.7, 0.194, 16716, 512679, 2094610
225, Python2.7, 0.195, 16716, 511520, 2204624
226, Python2.7, 0.194, 16680, 514224, 2038805
227, Python2.7, 0.195, 16752, 515721, 2007834
228, Python2.7, 0.194, 16761, 514701, 2066747
229, Python2.7, 0.220, 16770, 515607, 2014947
230, Python2.7, 0.193, 16742, 516976, 2049054
231, Python2.7, 0.194, 16724, 511336, 2161027
232, Python2.7, 0.195, 16664, 513133, 2080986
233, Python2.7, 0.195, 16726, 513836, 2041379
234, Python2.7, 0.195, 16724, 515727, 1997021
235, Python2.7, 0.195, 16824, 510326, 2132442
236, Python2.7, 0.192, 16770, 514844, 2004707
237, Python2.7, 0.195, 16734, 510491, 2089802
238, Python2.7, 0.193, 16811, 510722, 2147059
239, Python2.7, 0.194, 16777, 509911, 2142799
240, Python2.7, 0.196, 16623, 512294, 2105252
241, Python2.7, 0.198, 16635, 513820, 2154481
242, Python2.7, 0.193, 16725, 509883, 2129895
243, Python2.7, 0.195, 16642, 514823, 2015516
244, Python2.7, 0.200, 16755, 513896, 2058958
245, Python2.7, 0.205, 16669, 513748, 2064827
246, Python2.7, 0.202, 16714, 515678, 2028691
247, Python2.7, 0.204, 16676, 510463, 2174357
248, Python2.7, 0.202, 16715, 509169, 2154138
249, Python2.7, 0.205, 16647, 510097, 2122851
250, Python2.7, 0.203, 16682, 513864, 2045277
251, Python2.7, 0.206, 16721, 513478, 2080215
252, Python2.7, 0.202, 16720, 513364, 2045536
253, Python2.7, 0.202, 16706, 512003, 2095692
254, Python2.7, 0.204, 16662, 509337, 2206327
255, Python2.7, 0.196, 16712, 514034, 2027768
256, Python2.7, 0.196, 16701, 510396, 2115088
257, Python2.7, 0.201, 16679, 515485, 2050611
258, Python2.7, 0.196, 16684, 514786, 2036162
259, Python2.7, 0.196, 16677, 515311, 2034989
260, Python2.7, 0.199, 16767, 516557, 2008641
261, Python2.7, 0.197, 16790, 514099, 2025751
262, Python2.7, 0.193, 16730, 516184, 2010355
263, Python2.7, 0.192, 16748, 509320, 2152148
264, Python2.7, 0.194, 16797, 513709, 2131295
265, Python2.7, 0.196, 16767, 509829, 2101836
266, Python2.7, 0.193, 16652, 518698, 1943963
267, Python2.7, 0.197, 16792, 509122, 2183736
268, Python2.7, 0.193, 16786, 514677, 2062853
269, Python2.7, 0.195, 16633, 514096, 2133690
270, Python2.7, 0.196, 16740, 514984, 2031532
271, Python2.7, 0.196, 16725, 514247, 2061020
272, Python2.7, 0.199, 16677, 516259, 1990308
273, Python2.7, 0.200, 16827, 509510, 2095853
274, Python2.7, 0.198, 16708, 512865, 2065220
275, Python2.7, 0.195, 16673, 515375, 1993164
276, Python2.7, 0.197, 16738, 512918, 2081451
277, Python2.7, 0.192, 16725, 511500, 2137562
278, Python2.7, 0.196, 16682, 511875, 2099574
279, Python2.7, 0.339, 16676, 510893, 2094605
280, Python2.7, 0.210, 16679, 512813, 2098967
281, Python2.7, 0.196, 16777, 512588, 2064516
282, Python2.7, 0.264, 16705, 510101, 2175012
283, Python2.7, 0.336, 16647, 514450, 2113797
284, Python2.7, 0.200, 16654, 514577, 2034303
285, Python2.7, 0.220, 16681, 512325, 2106994
286, Python2.7, 0.245, 16731, 511772, 2092172
287, Python2.7, 0.241, 16816, 508090, 2226519
288, Python2.7, 0.205, 16760, 515631, 1987091
289, Python2.7, 0.203, 16719, 512466, 2193993
290, Python2.7, 0.215, 16736, 510069, 2129236
291, Python2.7, 0.205, 16715, 510436, 2110082
292, Python2.7, 0.195, 16675, 514058, 2087999
293, Python2.7, 0.238, 16708, 514936, 2038523
294, Python2.7, 0.212, 16796, 511382, 2089687
295, Python2.7, 0.208, 16719, 512394, 2133613
296, Python2.7, 0.199, 16695, 513573, 2133554
297, Python2.7, 0.197, 16711, 513316, 2111759
298, Python2.7, 0.216, 16708, 510214, 2111297
299, Python2.7, 0.205, 16681, 513394, 2127533
300, Python2.7, 0.213, 16718, 510884, 2228322
301, Python2.7, 0.211, 16731, 514372, 1999776
302, Python2.7, 0.202, 16716, 515325, 2043026
303, Python2.7, 0.212, 16664, 511177, 2105038
304, Python2.7, 0.194, 16800, 503574, 2348188
305, Python2.7, 0.253, 16735, 514676, 2041660
306, Python2.7, 0.197, 16674, 513104, 2119709
307, Python2.7, 0.197, 16705, 517922, 1968753
308, Python2.7, 0.251, 16711, 513489, 2112620
309, Python2.7, 0.206, 16694, 512335, 2085390
310, Python2.7, 0.202, 16715, 513615, 2058896
311, Python2.7, 0.217, 16790, 511604, 2069937
312, Python2.7, 0.209, 16703, 515630, 1991250
313, Python2.7, 0.209, 16765, 509691, 2154802
314, Python2.7, 0.208, 16702, 511484, 2073729
315, Python2.7, 0.217, 16707, 512521, 2113422
316, Python2.7, 0.194, 16745, 514754, 2012981
317, Python2.7, 0.195, 16767, 512835, 2032489
318, Python2.7, 0.198, 16703, 511615, 2121565
319, Python2.7, 0.194, 16701, 515520, 2008324
320, Python2.7, 0.196, 16701, 513065, 2076996
321, Python2.7, 0.198, 16716, 511870, 2100414
322, Python2.7, 0.202, 16668, 513620, 2036079
323, Python2.7, 0.193, 16698, 516004, 1997153
324, Python2.7, 0.197, 16711, 514889, 2021643
325, Python2.7, 0.196, 16875, 515103, 1990994
326, Python2.7, 0.200, 16738, 508635, 2174658
327, Python2.7, 0.197, 16693, 514206, 2038572
328, Python2.7, 0.192, 16694, 513177, 2086882
329, Python2.7, 0.196, 16593, 514742, 2041412
330, Python2.7, 0.202, 16695, 512066, 2104112
331, Python2.7, 0.210, 16626, 512072, 2147823
332, Python2.7, 0.205, 16734, 514530, 2007501
333, Python2.7, 0.208, 16754, 513699, 2035719
334, Python2.7, 0.194, 16772, 514460, 2036496
335, Python2.7, 0.199, 16688, 510955, 2127188
336, Python2.7, 0.193, 16745, 511142, 2105197
337, Python2.7, 0.199, 16770, 512520, 2096011
338, Python2.7, 0.191, 16680, 514120, 2119209
339, Python2.7, 0.196, 16623, 519179, 1979429
340, Python2.7, 0.194, 16663, 516094, 2087683
341, Python2.7, 0.200, 16823, 511092, 2194299
342, Python2.7, 0.195, 16715, 516623, 1992208
343, Python2.7, 0.195, 16746, 512052, 2036743
344, Python2.7, 0.196, 16745, 515987, 1994298
345, Python2.7, 0.193, 16690, 510877, 2166287
346, Python2.7, 0.194, 16720, 509565, 2173637
347, Python2.7, 0.193, 16829, 509479, 2268990
348, Python2.7, 0.192, 16816, 509126, 2170739
349, Python2.7, 0.227, 16747, 512299, 2060025
350, Python2.7, 0.194, 16641, 508058, 2240517
351, Python2.7, 0.193, 16693, 511283, 2116521
352, Python2.7, 0.206, 16694, 510556, 2147943
353, Python2.7, 0.196, 16746, 513630, 2107015
354, Python2.7, 0.194, 16765, 513831, 2047827
355, Python2.7, 0.195, 16682, 514602, 2097843
356, Python2.7, 0.208, 16740, 510614, 2174127
357, Python2.7, 0.204, 16756, 513682, 2029170
358, Python2.7, 0.200, 16702, 513366, 2049221
359, Python2.7, 0.195, 16653, 508242, 2267377
