"Sample Number","algorithm","fileSize","kvalue","Time"
001,deterministicselect,100,14,0.020
002,deterministicselect,100,59,0.025
003,deterministicselect,100,58,0.021
004,deterministicselect,100,87,0.020
005,deterministicselect,100,78,0.021
006,deterministicselect,100,27,0.028
007,deterministicselect,100,54,0.021
008,deterministicselect,100,67,0.023
009,deterministicselect,100,60,0.021
010,deterministicselect,100,78,0.021
011,deterministicselect,100,32,0.025
012,deterministicselect,100,46,0.021
013,deterministicselect,100,83,0.020
014,deterministicselect,100,5,0.024
015,deterministicselect,100,0,0.021
016,deterministicselect,100,68,0.021
017,deterministicselect,100,44,0.023
018,deterministicselect,100,62,0.020
019,deterministicselect,100,53,0.020
020,deterministicselect,100,73,0.029
021,deterministicselect,100,56,0.022
022,deterministicselect,100,12,0.021
023,deterministicselect,100,17,0.023
024,deterministicselect,100,50,0.022
025,deterministicselect,100,92,0.022
026,deterministicselect,100,6,0.020
027,deterministicselect,100,30,0.021
028,deterministicselect,100,60,0.021
029,deterministicselect,100,70,0.020
030,deterministicselect,100,93,0.021
031,deterministicselect,100,27,0.024
032,deterministicselect,100,78,0.021
033,deterministicselect,100,92,0.021
034,deterministicselect,100,37,0.022
035,deterministicselect,100,5,0.022
036,deterministicselect,100,81,0.022
037,deterministicselect,100,71,0.022
038,deterministicselect,100,21,0.020
039,deterministicselect,100,13,0.021
040,deterministicselect,100,11,0.020
041,deterministicselect,100,80,0.022
042,deterministicselect,100,35,0.024
043,deterministicselect,100,86,0.022
044,deterministicselect,100,38,0.022
045,deterministicselect,100,77,0.021
046,deterministicselect,100,30,0.023
047,deterministicselect,100,63,0.023
048,deterministicselect,100,62,0.021
049,deterministicselect,100,7,0.021
050,deterministicselect,100,26,0.021
051,deterministicselect,100,94,0.021
052,deterministicselect,100,50,0.021
053,deterministicselect,100,1,0.023
054,deterministicselect,100,77,0.027
055,deterministicselect,100,13,0.023
056,deterministicselect,100,23,0.020
057,deterministicselect,100,96,0.021
058,deterministicselect,100,43,0.020
059,deterministicselect,100,60,0.022
060,deterministicselect,100,31,0.021
061,deterministicselect,100,52,0.020
062,deterministicselect,100,23,0.021
063,deterministicselect,100,91,0.020
064,deterministicselect,100,99,0.023
065,deterministicselect,100,85,0.020
066,deterministicselect,100,57,0.024
067,deterministicselect,100,65,0.023
068,deterministicselect,100,64,0.021
069,deterministicselect,100,10,0.023
070,deterministicselect,100,3,0.021
071,deterministicselect,100,4,0.023
072,deterministicselect,100,11,0.021
073,deterministicselect,100,94,0.021
074,deterministicselect,100,82,0.021
075,deterministicselect,100,64,0.020
076,deterministicselect,100,14,0.020
077,deterministicselect,100,29,0.020
078,deterministicselect,100,8,0.022
079,deterministicselect,100,25,0.020
080,deterministicselect,100,93,0.020
081,deterministicselect,100,73,0.021
082,deterministicselect,100,87,0.020
083,deterministicselect,100,0,0.021
084,deterministicselect,100,76,0.023
085,deterministicselect,100,21,0.020
086,deterministicselect,100,42,0.021
087,deterministicselect,100,57,0.022
088,deterministicselect,100,24,0.022
089,deterministicselect,100,46,0.024
090,deterministicselect,100,67,0.023
091,deterministicselect,100,55,0.022
092,deterministicselect,100,5,0.020
093,deterministicselect,100,36,0.020
094,deterministicselect,100,36,0.022
095,deterministicselect,100,89,0.022
096,deterministicselect,100,51,0.023
097,deterministicselect,100,34,0.020
098,deterministicselect,100,65,0.022
099,deterministicselect,100,87,0.021
100,deterministicselect,100,95,0.024
101,deterministicselect,100,84,0.021
102,deterministicselect,100,81,0.020
103,deterministicselect,100,3,0.021
104,deterministicselect,100,66,0.022
105,deterministicselect,100,11,0.021
106,deterministicselect,100,89,0.023
107,deterministicselect,100,25,0.021
108,deterministicselect,100,56,0.022
109,deterministicselect,100,98,0.022
110,deterministicselect,100,93,0.024
111,deterministicselect,100,14,0.021
112,deterministicselect,100,10,0.021
113,deterministicselect,100,60,0.022
114,deterministicselect,100,78,0.022
115,deterministicselect,100,56,0.022
116,deterministicselect,100,3,0.021
117,deterministicselect,100,56,0.021
118,deterministicselect,100,7,0.026
119,deterministicselect,100,70,0.025
120,deterministicselect,100,48,0.032
121,deterministicselect,100,10,0.021
122,deterministicselect,100,15,0.022
123,deterministicselect,100,88,0.022
124,deterministicselect,100,37,0.021
125,deterministicselect,100,16,0.021
126,deterministicselect,100,27,0.024
127,deterministicselect,100,10,0.021
128,deterministicselect,100,92,0.022
129,deterministicselect,100,36,0.021
130,deterministicselect,100,43,0.021
131,deterministicselect,100,86,0.026
132,deterministicselect,100,47,0.021
133,deterministicselect,100,26,0.020
134,deterministicselect,100,23,0.028
135,deterministicselect,100,11,0.021
136,deterministicselect,100,73,0.026
137,deterministicselect,100,29,0.026
138,deterministicselect,100,95,0.025
139,deterministicselect,100,33,0.022
140,deterministicselect,100,61,0.021
141,deterministicselect,100,92,0.021
142,deterministicselect,100,92,0.035
143,deterministicselect,100,8,0.024
144,deterministicselect,100,85,0.032
145,deterministicselect,100,46,0.021
146,deterministicselect,100,33,0.023
147,deterministicselect,100,77,0.025
148,deterministicselect,100,58,0.025
149,deterministicselect,100,61,0.022
150,deterministicselect,100,68,0.022
151,deterministicselect,100,23,0.024
152,deterministicselect,100,92,0.026
153,deterministicselect,100,20,0.024
154,deterministicselect,100,61,0.021
155,deterministicselect,100,77,0.024
156,deterministicselect,100,33,0.024
157,deterministicselect,100,5,0.024
158,deterministicselect,100,80,0.025
159,deterministicselect,100,93,0.022
160,deterministicselect,100,42,0.024
161,deterministicselect,100,13,0.020
162,deterministicselect,100,51,0.024
163,deterministicselect,100,15,0.028
164,deterministicselect,100,39,0.023
165,deterministicselect,100,42,0.021
166,deterministicselect,100,46,0.025
167,deterministicselect,100,40,0.021
168,deterministicselect,100,92,0.028
169,deterministicselect,100,9,0.023
170,deterministicselect,100,76,0.021
171,deterministicselect,100,85,0.020
172,deterministicselect,100,40,0.025
173,deterministicselect,100,54,0.025
174,deterministicselect,100,2,0.027
175,deterministicselect,100,42,0.020
176,deterministicselect,100,58,0.021
177,deterministicselect,100,68,0.021
178,deterministicselect,100,94,0.029
179,deterministicselect,100,83,0.029
180,deterministicselect,100,86,0.022
181,deterministicselect,100,98,0.021
182,deterministicselect,100,38,0.020
183,deterministicselect,100,40,0.021
184,deterministicselect,100,16,0.025
185,deterministicselect,100,64,0.025
186,deterministicselect,100,55,0.022
187,deterministicselect,100,66,0.023
188,deterministicselect,100,74,0.029
189,deterministicselect,100,55,0.030
190,deterministicselect,100,40,0.024
191,deterministicselect,100,62,0.021
192,deterministicselect,100,59,0.021
193,deterministicselect,100,18,0.022
194,deterministicselect,100,11,0.020
195,deterministicselect,100,25,0.021
196,deterministicselect,100,40,0.029
197,deterministicselect,100,81,0.023
198,deterministicselect,100,60,0.024
199,deterministicselect,100,56,0.021
200,deterministicselect,100,46,0.022
001,deterministicselect,1000,902,0.029
002,deterministicselect,1000,217,0.024
003,deterministicselect,1000,980,0.025
004,deterministicselect,1000,950,0.027
005,deterministicselect,1000,678,0.029
006,deterministicselect,1000,873,0.030
007,deterministicselect,1000,829,0.025
008,deterministicselect,1000,596,0.025
009,deterministicselect,1000,722,0.023
010,deterministicselect,1000,344,0.023
011,deterministicselect,1000,591,0.027
012,deterministicselect,1000,810,0.023
013,deterministicselect,1000,537,0.023
014,deterministicselect,1000,552,0.027
015,deterministicselect,1000,898,0.024
016,deterministicselect,1000,471,0.029
017,deterministicselect,1000,126,0.023
018,deterministicselect,1000,980,0.024
019,deterministicselect,1000,106,0.024
020,deterministicselect,1000,527,0.025
021,deterministicselect,1000,426,0.027
022,deterministicselect,1000,597,0.024
023,deterministicselect,1000,558,0.024
024,deterministicselect,1000,825,0.024
025,deterministicselect,1000,459,0.024
026,deterministicselect,1000,92,0.029
027,deterministicselect,1000,337,0.025
028,deterministicselect,1000,994,0.024
029,deterministicselect,1000,239,0.023
030,deterministicselect,1000,127,0.023
031,deterministicselect,1000,810,0.032
032,deterministicselect,1000,725,0.024
033,deterministicselect,1000,190,0.025
034,deterministicselect,1000,572,0.027
035,deterministicselect,1000,683,0.027
036,deterministicselect,1000,863,0.029
037,deterministicselect,1000,363,0.025
038,deterministicselect,1000,679,0.025
039,deterministicselect,1000,571,0.024
040,deterministicselect,1000,500,0.027
041,deterministicselect,1000,632,0.025
042,deterministicselect,1000,531,0.023
043,deterministicselect,1000,724,0.023
044,deterministicselect,1000,268,0.028
045,deterministicselect,1000,428,0.031
046,deterministicselect,1000,802,0.031
047,deterministicselect,1000,989,0.029
048,deterministicselect,1000,914,0.029
049,deterministicselect,1000,246,0.031
050,deterministicselect,1000,260,0.028
051,deterministicselect,1000,645,0.028
052,deterministicselect,1000,770,0.029
053,deterministicselect,1000,22,0.033
054,deterministicselect,1000,473,0.028
055,deterministicselect,1000,508,0.023
056,deterministicselect,1000,720,0.023
057,deterministicselect,1000,472,0.023
058,deterministicselect,1000,799,0.023
059,deterministicselect,1000,170,0.026
060,deterministicselect,1000,665,0.026
061,deterministicselect,1000,784,0.028
062,deterministicselect,1000,802,0.028
063,deterministicselect,1000,835,0.024
064,deterministicselect,1000,875,0.030
065,deterministicselect,1000,308,0.026
066,deterministicselect,1000,167,0.024
067,deterministicselect,1000,561,0.023
068,deterministicselect,1000,731,0.023
069,deterministicselect,1000,548,0.023
070,deterministicselect,1000,415,0.031
071,deterministicselect,1000,888,0.031
072,deterministicselect,1000,129,0.025
073,deterministicselect,1000,178,0.024
074,deterministicselect,1000,115,0.024
075,deterministicselect,1000,135,0.033
076,deterministicselect,1000,341,0.026
077,deterministicselect,1000,393,0.029
078,deterministicselect,1000,500,0.032
079,deterministicselect,1000,420,0.036
080,deterministicselect,1000,57,0.023
081,deterministicselect,1000,392,0.025
082,deterministicselect,1000,560,0.023
083,deterministicselect,1000,68,0.025
084,deterministicselect,1000,260,0.025
085,deterministicselect,1000,59,0.030
086,deterministicselect,1000,539,0.026
087,deterministicselect,1000,621,0.026
088,deterministicselect,1000,290,0.024
089,deterministicselect,1000,285,0.028
090,deterministicselect,1000,675,0.032
091,deterministicselect,1000,412,0.024
092,deterministicselect,1000,324,0.025
093,deterministicselect,1000,960,0.026
094,deterministicselect,1000,858,0.028
095,deterministicselect,1000,317,0.034
096,deterministicselect,1000,280,0.029
097,deterministicselect,1000,720,0.023
098,deterministicselect,1000,369,0.024
099,deterministicselect,1000,782,0.028
100,deterministicselect,1000,817,0.034
101,deterministicselect,1000,554,0.030
102,deterministicselect,1000,465,0.028
103,deterministicselect,1000,379,0.028
104,deterministicselect,1000,812,0.034
105,deterministicselect,1000,336,0.025
106,deterministicselect,1000,25,0.025
107,deterministicselect,1000,647,0.030
108,deterministicselect,1000,496,0.029
109,deterministicselect,1000,634,0.031
110,deterministicselect,1000,950,0.028
111,deterministicselect,1000,119,0.031
112,deterministicselect,1000,715,0.026
113,deterministicselect,1000,91,0.028
114,deterministicselect,1000,246,0.025
115,deterministicselect,1000,895,0.024
116,deterministicselect,1000,468,0.023
117,deterministicselect,1000,657,0.023
118,deterministicselect,1000,523,0.024
119,deterministicselect,1000,192,0.037
120,deterministicselect,1000,341,0.026
121,deterministicselect,1000,786,0.027
122,deterministicselect,1000,800,0.027
123,deterministicselect,1000,88,0.024
124,deterministicselect,1000,492,0.030
125,deterministicselect,1000,223,0.026
126,deterministicselect,1000,789,0.025
127,deterministicselect,1000,728,0.033
128,deterministicselect,1000,549,0.031
129,deterministicselect,1000,17,0.030
130,deterministicselect,1000,314,0.027
131,deterministicselect,1000,147,0.026
132,deterministicselect,1000,802,0.031
133,deterministicselect,1000,910,0.029
134,deterministicselect,1000,901,0.023
135,deterministicselect,1000,964,0.025
136,deterministicselect,1000,605,0.022
137,deterministicselect,1000,674,0.027
138,deterministicselect,1000,796,0.033
139,deterministicselect,1000,717,0.027
140,deterministicselect,1000,843,0.025
141,deterministicselect,1000,557,0.027
142,deterministicselect,1000,73,0.027
143,deterministicselect,1000,335,0.032
144,deterministicselect,1000,897,0.026
145,deterministicselect,1000,929,0.024
146,deterministicselect,1000,992,0.024
147,deterministicselect,1000,508,0.026
148,deterministicselect,1000,748,0.048
149,deterministicselect,1000,984,0.024
150,deterministicselect,1000,74,0.023
151,deterministicselect,1000,534,0.024
152,deterministicselect,1000,946,0.031
153,deterministicselect,1000,223,0.036
154,deterministicselect,1000,862,0.028
155,deterministicselect,1000,621,0.025
156,deterministicselect,1000,105,0.027
157,deterministicselect,1000,468,0.034
158,deterministicselect,1000,781,0.029
159,deterministicselect,1000,787,0.023
160,deterministicselect,1000,626,0.026
161,deterministicselect,1000,81,0.023
162,deterministicselect,1000,747,0.027
163,deterministicselect,1000,696,0.028
164,deterministicselect,1000,941,0.023
165,deterministicselect,1000,582,0.022
166,deterministicselect,1000,252,0.030
167,deterministicselect,1000,884,0.026
168,deterministicselect,1000,828,0.027
169,deterministicselect,1000,816,0.029
170,deterministicselect,1000,964,0.023
171,deterministicselect,1000,968,0.023
172,deterministicselect,1000,607,0.024
173,deterministicselect,1000,83,0.023
174,deterministicselect,1000,84,0.026
175,deterministicselect,1000,27,0.023
176,deterministicselect,1000,643,0.025
177,deterministicselect,1000,153,0.030
178,deterministicselect,1000,77,0.026
179,deterministicselect,1000,997,0.031
180,deterministicselect,1000,98,0.029
181,deterministicselect,1000,880,0.027
182,deterministicselect,1000,366,0.037
183,deterministicselect,1000,510,0.031
184,deterministicselect,1000,904,0.028
185,deterministicselect,1000,900,0.033
186,deterministicselect,1000,622,0.031
187,deterministicselect,1000,836,0.028
188,deterministicselect,1000,210,0.026
189,deterministicselect,1000,337,0.028
190,deterministicselect,1000,240,0.025
191,deterministicselect,1000,998,0.025
192,deterministicselect,1000,415,0.025
193,deterministicselect,1000,455,0.023
194,deterministicselect,1000,410,0.023
195,deterministicselect,1000,796,0.030
196,deterministicselect,1000,676,0.024
197,deterministicselect,1000,587,0.032
198,deterministicselect,1000,964,0.028
199,deterministicselect,1000,858,0.030
200,deterministicselect,1000,528,0.031
