"Sample Number","algorithm","fileSize","kvalue","Time"
001,quickselect,100,72,0.035
002,quickselect,100,41,0.031
003,quickselect,100,35,0.032
004,quickselect,100,78,0.028
005,quickselect,100,69,0.027
006,quickselect,100,82,0.027
007,quickselect,100,9,0.027
008,quickselect,100,8,0.035
009,quickselect,100,48,0.028
010,quickselect,100,30,0.024
011,quickselect,100,68,0.030
012,quickselect,100,75,0.025
013,quickselect,100,99,0.030
014,quickselect,100,96,0.025
015,quickselect,100,63,0.029
016,quickselect,100,36,0.027
017,quickselect,100,37,0.024
018,quickselect,100,20,0.032
019,quickselect,100,69,0.047
020,quickselect,100,74,0.022
021,quickselect,100,31,0.024
022,quickselect,100,39,0.025
023,quickselect,100,55,0.034
024,quickselect,100,75,0.028
025,quickselect,100,68,0.026
026,quickselect,100,59,0.025
027,quickselect,100,60,0.029
028,quickselect,100,98,0.032
029,quickselect,100,72,0.033
030,quickselect,100,56,0.032
031,quickselect,100,85,0.026
032,quickselect,100,34,0.023
033,quickselect,100,83,0.028
034,quickselect,100,20,0.034
035,quickselect,100,49,0.030
036,quickselect,100,95,0.027
037,quickselect,100,25,0.027
038,quickselect,100,27,0.033
039,quickselect,100,75,0.032
040,quickselect,100,21,0.030
041,quickselect,100,48,0.031
042,quickselect,100,33,0.026
043,quickselect,100,34,0.033
044,quickselect,100,77,0.030
045,quickselect,100,86,0.029
046,quickselect,100,33,0.025
047,quickselect,100,98,0.033
048,quickselect,100,90,0.031
049,quickselect,100,18,0.029
050,quickselect,100,62,0.031
051,quickselect,100,79,0.028
052,quickselect,100,6,0.034
053,quickselect,100,65,0.029
054,quickselect,100,42,0.032
055,quickselect,100,5,0.033
056,quickselect,100,80,0.033
057,quickselect,100,53,0.023
058,quickselect,100,56,0.026
059,quickselect,100,70,0.038
060,quickselect,100,86,0.027
061,quickselect,100,51,0.037
062,quickselect,100,85,0.033
063,quickselect,100,39,0.028
064,quickselect,100,76,0.031
065,quickselect,100,69,0.031
066,quickselect,100,47,0.026
067,quickselect,100,2,0.037
068,quickselect,100,24,0.029
069,quickselect,100,46,0.034
070,quickselect,100,81,0.036
071,quickselect,100,56,0.031
072,quickselect,100,85,0.030
073,quickselect,100,53,0.033
074,quickselect,100,43,0.040
075,quickselect,100,98,0.034
076,quickselect,100,57,0.032
077,quickselect,100,36,0.032
078,quickselect,100,52,0.030
079,quickselect,100,20,0.036
080,quickselect,100,97,0.037
081,quickselect,100,25,0.032
082,quickselect,100,96,0.028
083,quickselect,100,80,0.032
084,quickselect,100,54,0.039
