"Sample Number","algorithm","fileSize","kvalue","Time"
001,quicksort,100,14,0.020
002,quicksort,100,59,0.021
003,quicksort,100,58,0.020
004,quicksort,100,87,0.023
005,quicksort,100,78,0.021
006,quicksort,100,27,0.026
007,quicksort,100,54,0.021
008,quicksort,100,67,0.025
009,quicksort,100,60,0.023
010,quicksort,100,78,0.022
011,quicksort,100,32,0.025
012,quicksort,100,46,0.019
013,quicksort,100,83,0.020
014,quicksort,100,5,0.021
015,quicksort,100,0,0.020
016,quicksort,100,68,0.021
017,quicksort,100,44,0.020
018,quicksort,100,62,0.020
019,quicksort,100,53,0.021
020,quicksort,100,73,0.027
021,quicksort,100,56,0.020
022,quicksort,100,12,0.020
023,quicksort,100,17,0.025
024,quicksort,100,50,0.019
025,quicksort,100,92,0.021
026,quicksort,100,6,0.020
027,quicksort,100,30,0.022
028,quicksort,100,60,0.020
029,quicksort,100,70,0.020
030,quicksort,100,93,0.020
031,quicksort,100,27,0.027
032,quicksort,100,78,0.020
033,quicksort,100,92,0.020
034,quicksort,100,37,0.020
035,quicksort,100,5,0.021
036,quicksort,100,81,0.022
037,quicksort,100,71,0.021
038,quicksort,100,21,0.022
039,quicksort,100,13,0.020
040,quicksort,100,11,0.021
041,quicksort,100,80,0.020
042,quicksort,100,35,0.020
043,quicksort,100,86,0.023
044,quicksort,100,38,0.020
045,quicksort,100,77,0.021
046,quicksort,100,30,0.020
047,quicksort,100,63,0.021
048,quicksort,100,62,0.021
049,quicksort,100,7,0.020
050,quicksort,100,26,0.021
051,quicksort,100,94,0.020
052,quicksort,100,50,0.021
053,quicksort,100,1,0.020
054,quicksort,100,77,0.023
055,quicksort,100,13,0.021
056,quicksort,100,23,0.020
057,quicksort,100,96,0.020
058,quicksort,100,43,0.020
059,quicksort,100,60,0.022
060,quicksort,100,31,0.020
061,quicksort,100,52,0.020
062,quicksort,100,23,0.020
063,quicksort,100,91,0.020
064,quicksort,100,99,0.020
065,quicksort,100,85,0.022
066,quicksort,100,57,0.027
067,quicksort,100,65,0.020
068,quicksort,100,64,0.020
069,quicksort,100,10,0.019
070,quicksort,100,3,0.020
071,quicksort,100,4,0.021
072,quicksort,100,11,0.021
073,quicksort,100,94,0.020
074,quicksort,100,82,0.020
075,quicksort,100,64,0.020
076,quicksort,100,14,0.021
077,quicksort,100,29,0.021
078,quicksort,100,8,0.021
079,quicksort,100,25,0.020
080,quicksort,100,93,0.023
081,quicksort,100,73,0.023
082,quicksort,100,87,0.020
083,quicksort,100,0,0.022
084,quicksort,100,76,0.020
085,quicksort,100,21,0.020
086,quicksort,100,42,0.022
087,quicksort,100,57,0.020
088,quicksort,100,24,0.023
089,quicksort,100,46,0.022
090,quicksort,100,67,0.022
091,quicksort,100,55,0.022
092,quicksort,100,5,0.020
093,quicksort,100,36,0.020
094,quicksort,100,36,0.020
095,quicksort,100,89,0.020
096,quicksort,100,51,0.022
097,quicksort,100,34,0.021
098,quicksort,100,65,0.021
099,quicksort,100,87,0.020
100,quicksort,100,95,0.019
101,quicksort,100,84,0.021
102,quicksort,100,81,0.020
103,quicksort,100,3,0.023
104,quicksort,100,66,0.021
105,quicksort,100,11,0.021
106,quicksort,100,89,0.021
107,quicksort,100,25,0.020
108,quicksort,100,56,0.021
109,quicksort,100,98,0.024
110,quicksort,100,93,0.021
111,quicksort,100,14,0.021
112,quicksort,100,10,0.025
113,quicksort,100,60,0.021
