Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
1,100,57,0.035,0.026,0.033
2,100,51,0.032,0.036,0.036
3,100,23,0.028,0.032,0.033
4,100,58,0.025,0.034,0.031
5,100,1,0.034,0.028,0.031
6,100,73,0.03,0.032,0.03
7,100,91,0.032,0.029,0.035
8,100,34,0.033,0.06,0.048
9,100,88,0.061,0.043,0.036
10,100,90,0.033,0.039,0.037
11,100,43,0.04,0.038,0.035
12,100,81,0.026,0.03,0.041
13,100,74,0.031,0.031,0.029
14,100,24,0.033,0.04,0.063
15,100,70,0.035,0.043,0.04
16,100,45,0.034,0.029,0.023
17,100,15,0.031,0.038,0.045
18,100,22,0.03,0.034,0.028
19,100,71,0.058,0.04,0.042
20,100,74,0.035,0.036,0.033
21,100,52,0.038,0.057,0.067
22,100,70,0.037,0.041,0.054
23,100,86,0.06,0.06,0.041
24,100,91,0.035,0.033,0.04
25,100,84,0.032,0.069,0.036
26,100,56,0.051,0.045,0.035
27,100,25,0.057,0.038,0.053
28,100,38,0.053,0.042,0.039
29,100,36,0.044,0.036,0.041
30,100,48,0.035,0.03,0.043
31,100,10,0.059,0.042,0.036
32,100,50,0.079,0.03,0.067
33,100,12,0.043,0.048,0.039
34,100,22,0.024,0.046,0.032
35,100,19,0.032,0.035,0.043
36,100,74,0.029,0.025,0.04
37,100,62,0.065,0.041,0.059
38,100,22,0.053,0.042,0.039
39,100,99,0.046,0.035,0.052
40,100,47,0.039,0.048,0.034
41,100,36,0.038,0.054,0.034
42,100,46,0.041,0.032,0.057
43,100,80,0.045,0.051,0.045
44,100,55,0.033,0.052,0.039
45,100,42,0.038,0.032,0.032
46,100,22,0.043,0.028,0.031
47,100,69,0.056,0.024,0.034
48,100,83,0.04,0.063,0.054
49,100,83,0.043,0.039,0.024
50,100,33,0.038,0.05,0.032
51,100,62,0.036,0.045,0.039
52,100,1,0.06,0.04,0.036
53,100,59,0.041,0.038,0.032
54,100,10,0.04,0.042,0.04
55,100,74,0.036,0.034,0.061
56,100,45,0.032,0.039,0.049
57,100,53,0.041,0.043,0.046
58,100,94,0.038,0.026,0.048
59,100,40,0.031,0.05,0.053
60,100,89,0.044,0.034,0.037
61,100,53,0.05,0.048,0.035
62,100,56,0.022,0.052,0.051
63,100,92,0.038,0.028,0.04
64,100,93,0.043,0.047,0.061
65,100,3,0.054,0.074,0.057
66,100,2,0.046,0.036,0.045
67,100,71,0.037,0.036,0.058
68,100,69,0.035,0.027,0.044
69,100,18,0.046,0.051,0.051
70,100,85,0.048,0.033,0.041
71,100,46,0.036,0.033,0.045
72,100,1,0.041,0.054,0.034
73,100,39,0.04,0.04,0.03
74,100,59,0.054,0.058,0.051
75,100,91,0.031,0.046,0.052
76,100,77,0.048,0.032,0.05
77,100,67,0.065,0.072,0.07
78,100,90,0.05,0.067,0.055
79,100,62,0.062,0.06,0.036
80,100,48,0.045,0.033,0.038
