Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
1,100000,17982,0.185,0.433,0.373
2,100000,23952,0.146,0.416,0.454
3,100000,14093,0.153,0.518,0.372
4,100000,21043,0.215,0.446,0.396
5,100000,10369,0.224,0.481,0.42
6,100000,20508,0.182,0.501,0.402
7,100000,11588,0.169,0.505,0.382
8,100000,13892,0.166,0.462,0.374
9,100000,30625,0.149,0.44,0.375
10,100000,10883,0.114,0.453,0.348
11,100000,5066,0.153,0.448,0.346
12,100000,27500,0.152,0.472,0.383
13,100000,4908,0.211,0.439,0.344
14,100000,1201,0.158,0.44,0.318
15,100000,23014,0.164,0.447,0.329
16,100000,20369,0.161,0.448,0.348
17,100000,21500,0.146,0.427,0.341
18,100000,32450,0.171,0.424,0.347
19,100000,23257,0.159,0.442,0.341
20,100000,8409,0.16,0.42,0.338
21,100000,13380,0.134,0.439,0.358
22,100000,30232,0.205,0.457,0.372
23,100000,716,0.184,0.444,0.39
24,100000,7725,0.161,0.404,0.334
25,100000,27740,0.189,0.397,0.341
26,100000,28735,0.151,0.374,0.298
27,100000,22136,0.153,0.377,0.302
28,100000,13166,0.149,0.366,0.299
29,100000,4172,0.132,0.386,0.295
30,100000,22402,0.146,0.381,0.293
31,100000,18839,0.12,0.372,0.293
32,100000,11642,0.12,0.353,0.296
33,100000,31258,0.16,0.363,0.29
34,100000,25930,0.168,0.366,0.298
35,100000,4110,0.119,0.363,0.3
36,100000,12765,0.136,0.386,0.351
37,100000,3284,0.105,0.435,0.355
38,100000,22073,0.173,0.6,0.414
39,100000,21975,0.143,0.462,0.369
40,100000,30295,0.182,0.466,0.381
41,100000,7260,0.214,0.505,0.359
42,100000,17418,0.193,0.531,0.366
43,100000,2480,0.153,0.471,0.369
44,100000,29714,0.221,0.453,0.375
45,100000,1526,0.137,0.455,0.379
46,100000,16679,0.161,0.539,0.375
47,100000,9861,0.177,0.509,0.395
48,100000,4768,0.171,0.539,0.412
49,100000,17811,0.143,0.498,0.428
50,100000,4615,0.192,0.491,0.413
51,100000,10142,0.161,0.499,0.373
52,100000,1718,0.141,0.489,0.374
53,100000,5083,0.174,0.533,0.409
54,100000,8270,0.179,0.447,0.378
55,100000,5001,0.146,0.484,0.396
56,100000,24746,0.135,0.46,0.409
57,100000,22780,0.157,0.527,0.394
58,100000,930,0.157,0.438,0.363
59,100000,18885,0.159,0.447,0.36
60,100000,1710,0.147,0.398,0.364
61,100000,53,0.118,0.442,0.352
62,100000,15438,0.139,0.465,0.351
63,100000,32563,0.172,0.417,0.361
64,100000,5834,0.141,0.425,0.361
65,100000,30753,0.183,0.452,0.337
66,100000,31641,0.174,0.433,0.382
67,100000,5437,0.127,0.455,0.351
68,100000,27803,0.135,0.408,0.347
69,100000,27588,0.239,0.449,0.341
70,100000,5604,0.146,0.449,0.371
71,100000,14275,0.176,0.432,0.375
72,100000,18125,0.14,0.448,0.414
73,100000,87,0.157,0.497,0.394
74,100000,31366,0.172,0.464,0.409
75,100000,28106,0.159,0.446,0.379
76,100000,18522,0.208,0.439,0.438
77,100000,9171,0.163,0.449,0.366
78,100000,19816,0.156,0.473,0.41
79,100000,2275,0.19,0.501,0.381
80,100000,20863,0.159,0.537,0.368
81,100000,14399,0.168,0.462,0.374
82,100000,32351,0.233,0.494,0.369
83,100000,8029,0.185,0.431,0.355
84,100000,27779,0.203,0.53,0.351
85,100000,10170,0.155,0.452,0.362
86,100000,31309,0.153,0.455,0.348
87,100000,32042,0.189,0.446,0.343
88,100000,18983,0.197,0.472,0.357
89,100000,11592,0.187,0.466,0.377
90,100000,20982,0.187,0.463,0.353
91,100000,14226,0.123,0.444,0.354
92,100000,2540,0.125,0.418,0.357
93,100000,24156,0.177,0.417,0.347
94,100000,29346,0.198,0.422,0.335
95,100000,20377,0.177,0.428,0.43
96,100000,18951,0.164,0.453,0.347
97,100000,16681,0.165,0.428,0.358
98,100000,19576,0.214,0.414,0.34
99,100000,3889,0.158,0.449,0.363
100,100000,15141,0.155,0.42,0.355
101,100000,31657,0.205,0.458,0.375
102,100000,661,0.139,0.458,0.358
103,100000,3360,0.17,0.45,0.389
104,100000,13279,0.171,0.474,0.408
105,100000,26474,0.159,0.472,0.362
106,100000,239,0.12,0.449,0.361
107,100000,943,0.145,0.528,0.391
108,100000,32763,0.171,0.478,0.361
109,100000,5659,0.175,0.45,0.368
110,100000,5101,0.21,0.438,0.352
111,100000,26136,0.162,0.526,0.387
112,100000,26472,0.15,0.428,0.36
113,100000,4826,0.259,0.443,0.388
114,100000,24002,0.177,0.471,0.383
115,100000,24749,0.158,0.453,0.377
116,100000,10488,0.128,0.513,0.362
117,100000,27707,0.175,0.474,0.367
118,100000,17805,0.18,0.531,0.412
119,100000,12232,0.156,0.489,0.386
120,100000,25819,0.196,0.463,0.373
121,100000,21272,0.208,0.505,0.343
122,100000,15410,0.132,0.519,0.378
123,100000,31094,0.147,0.445,0.368
124,100000,13023,0.137,0.465,0.33
125,100000,23067,0.165,0.457,0.361
126,100000,29430,0.191,0.449,0.361
127,100000,5602,0.169,0.442,0.36
128,100000,24681,0.177,0.432,0.343
129,100000,8716,0.191,0.458,0.367
130,100000,24540,0.228,0.463,0.358
131,100000,29315,0.164,0.432,0.346
132,100000,4658,0.151,0.438,0.353
133,100000,32475,0.166,0.45,0.354
134,100000,11203,0.196,0.441,0.337
135,100000,31749,0.158,0.461,0.352
136,100000,17859,0.188,0.446,0.372
137,100000,24941,0.21,0.449,0.359
138,100000,26172,0.162,0.477,0.383
139,100000,15096,0.132,0.455,0.361
140,100000,28334,0.212,0.454,0.357
141,100000,4647,0.163,0.454,0.361
142,100000,6957,0.219,0.452,0.368
143,100000,3899,0.133,0.496,0.377
144,100000,11154,0.188,0.525,0.379
145,100000,2107,0.132,0.495,0.375
146,100000,9767,0.157,0.463,0.346
147,100000,13863,0.145,0.442,0.342
148,100000,20172,0.211,0.557,0.359
149,100000,27061,0.229,0.458,0.379
150,100000,24454,0.138,0.442,0.397
151,100000,1915,0.14,0.463,0.453
152,100000,14077,0.171,0.457,0.354
153,100000,68,0.138,0.461,0.348
154,100000,32590,0.139,0.437,0.353
155,100000,5386,0.204,0.426,0.398
156,100000,13120,0.136,0.45,0.354
157,100000,11977,0.172,0.451,0.35
158,100000,20928,0.147,0.436,0.331
159,100000,6438,0.135,0.492,0.347
160,100000,28456,0.205,0.426,0.349
161,100000,13217,0.124,0.463,0.341
162,100000,6591,0.153,0.416,0.339
163,100000,24523,0.158,0.431,0.369
164,100000,8828,0.149,0.45,0.346
165,100000,17331,0.149,0.434,0.36
166,100000,15590,0.13,0.415,0.307
167,100000,5771,0.161,0.464,0.383
168,100000,178,0.206,0.463,0.36
169,100000,19000,0.166,0.458,0.366
170,100000,5478,0.175,0.448,0.379
171,100000,12093,0.162,0.548,0.36
172,100000,9260,0.223,0.474,0.366
173,100000,22861,0.181,0.44,0.379
174,100000,1440,0.177,0.49,0.377
175,100000,16741,0.166,0.509,0.377
176,100000,28980,0.163,0.462,0.385
177,100000,5946,0.161,0.467,0.371
178,100000,10630,0.214,0.515,0.367
179,100000,5730,0.209,0.476,0.387
180,100000,11449,0.18,0.482,0.37
181,100000,13440,0.133,0.491,0.377
182,100000,16818,0.147,0.449,0.443
183,100000,19546,0.141,0.481,0.399
184,100000,17095,0.152,0.461,0.361
185,100000,13988,0.15,0.426,0.367
186,100000,13379,0.174,0.443,0.404
187,100000,15334,0.194,0.463,0.365
188,100000,30920,0.147,0.449,0.331
189,100000,9150,0.148,0.431,0.334
190,100000,16251,0.179,0.452,0.331
191,100000,3196,0.253,0.773,0.408
192,100000,1916,0.13,0.492,0.366
193,100000,23232,0.201,0.474,0.361
194,100000,14873,0.143,0.452,0.397
195,100000,9120,0.149,0.468,0.374
196,100000,22714,0.175,0.566,0.397
