"Sample Number","fileSize","kvalue","quickselect","quicksort","deterministicselect"
001,10^2,57,0.035,0.026,0.033,
002,10^2,51,0.032,0.036,0.036,
003,10^2,23,0.028,0.032,0.033,
004,10^2,58,0.025,0.034,0.031,
005,10^2,1,0.034,0.028,0.031,
006,10^2,73,0.030,0.032,0.030,
007,10^2,91,0.032,0.029,0.035,
008,10^2,34,0.033,0.060,0.048,
009,10^2,88,0.061,0.043,0.036,
010,10^2,90,0.033,0.039,0.037,
011,10^2,43,0.040,0.038,0.035,
012,10^2,81,0.026,0.030,0.041,
013,10^2,74,0.031,0.031,0.029,
014,10^2,24,0.033,0.040,0.063,
015,10^2,70,0.035,0.043,0.040,
016,10^2,45,0.034,0.029,0.023,
017,10^2,15,0.031,0.038,0.045,
018,10^2,22,0.030,0.034,0.028,
019,10^2,71,0.058,0.040,0.042,
020,10^2,74,0.035,0.036,0.033,
021,10^2,52,0.038,0.057,0.067,
022,10^2,70,0.037,0.041,0.054,
023,10^2,86,0.060,0.060,0.041,
024,10^2,91,0.035,0.033,0.040,
025,10^2,84,0.032,0.069,0.036,
026,10^2,56,0.051,0.045,0.035,
027,10^2,25,0.057,0.038,0.053,
028,10^2,38,0.053,0.042,0.039,
029,10^2,36,0.044,0.036,0.041,
030,10^2,48,0.035,0.030,0.043,
031,10^2,10,0.059,0.042,0.036,
032,10^2,50,0.079,0.030,0.067,
033,10^2,12,0.043,0.048,0.039,
034,10^2,22,0.024,0.046,0.032,
035,10^2,19,0.032,0.035,0.043,
036,10^2,74,0.029,0.025,0.040,
037,10^2,62,0.065,0.041,0.059,
038,10^2,22,0.053,0.042,0.039,
039,10^2,99,0.046,0.035,0.052,
040,10^2,47,0.039,0.048,0.034,
041,10^2,36,0.038,0.054,0.034,
042,10^2,46,0.041,0.032,0.057,
043,10^2,80,0.045,0.051,0.045,
044,10^2,55,0.033,0.052,0.039,
045,10^2,42,0.038,0.032,0.032,
046,10^2,22,0.043,0.028,0.031,
047,10^2,69,0.056,0.024,0.034,
048,10^2,83,0.040,0.063,0.054,
049,10^2,83,0.043,0.039,0.024,
050,10^2,33,0.038,0.050,0.032,
051,10^2,62,0.036,0.045,0.039,
052,10^2,1,0.060,0.040,0.036,
053,10^2,59,0.041,0.038,0.032,
054,10^2,10,0.040,0.042,0.040,
055,10^2,74,0.036,0.034,0.061,
056,10^2,45,0.032,0.039,0.049,
057,10^2,53,0.041,0.043,0.046,
058,10^2,94,0.038,0.026,0.048,
059,10^2,40,0.031,0.050,0.053,
060,10^2,89,0.044,0.034,0.037,
061,10^2,53,0.050,0.048,0.035,
062,10^2,56,0.022,0.052,0.051,
063,10^2,92,0.038,0.028,0.040,
064,10^2,93,0.043,0.047,0.061,
065,10^2,3,0.054,0.074,0.057,
066,10^2,2,0.046,0.036,0.045,
067,10^2,71,0.037,0.036,0.058,
068,10^2,69,0.035,0.027,0.044,
069,10^2,18,0.046,0.051,0.051,
070,10^2,85,0.048,0.033,0.041,
071,10^2,46,0.036,0.033,0.045,
072,10^2,1,0.041,0.054,0.034,
073,10^2,39,0.040,0.040,0.030,
074,10^2,59,0.054,0.058,0.051,
075,10^2,91,0.031,0.046,0.052,
076,10^2,77,0.048,0.032,0.050,
077,10^2,67,0.065,0.072,0.070,
078,10^2,90,0.050,0.067,0.055,
079,10^2,62,0.062,0.060,0.036,
080,10^2,48,0.045,0.033,0.038,
081,10^2,75,0.039,0.048,0.036,
082,10^2,24,0.059,0.037,0.048,
083,10^2,84,0.042,0.038,0.065,
084,10^2,66,0.040,0.031,0.046,
085,10^2,42,0.033,0.030,0.046,
086,10^2,80,0.050,0.045,0.048,
087,10^2,34,0.043,0.037,0.029,
088,10^2,12,0.035,0.048,0.027,
089,10^2,60,0.054,0.042,0.040,
090,10^2,94,0.058,0.037,0.036,
091,10^2,32,0.042,0.047,0.042,
092,10^2,92,0.030,0.036,0.035,
093,10^2,43,0.048,0.037,0.041,
094,10^2,17,0.033,0.038,0.040,
095,10^2,52,0.037,0.045,0.065,
096,10^2,98,0.043,0.040,0.047,
097,10^2,14,0.038,0.039,0.046,
098,10^2,2,0.037,0.037,0.038,
099,10^2,38,0.046,0.036,0.044,
100,10^2,54,0.029,0.042,0.064,
101,10^2,54,0.056,0.041,0.041,
102,10^2,33,0.032,0.041,0.040,
103,10^2,88,0.042,0.069,0.060,
104,10^2,99,0.034,0.042,0.055,
105,10^2,45,0.034,0.039,0.041,
106,10^2,43,0.055,0.085,0.041,
107,10^2,63,0.031,0.024,0.040,
108,10^2,87,0.025,0.034,0.040,
109,10^2,49,0.041,0.036,0.044,
110,10^2,34,0.026,0.040,0.040,
111,10^2,19,0.032,0.039,0.042,
112,10^2,79,0.028,0.036,0.042,
113,10^2,72,0.049,0.040,0.042,
114,10^2,19,0.053,0.035,0.052,
115,10^2,35,0.066,0.067,0.108,
116,10^2,76,0.048,0.041,0.037,
117,10^2,52,0.046,0.053,0.124,
118,10^2,2,0.044,0.039,0.039,
119,10^2,23,0.041,0.036,0.045,
120,10^2,5,0.056,0.044,0.046,
121,10^2,93,0.046,0.046,0.034,
122,10^2,92,0.023,0.030,0.035,
123,10^2,6,0.047,0.042,0.049,
124,10^2,31,0.023,0.023,0.032,
125,10^2,23,0.023,0.030,0.031,
126,10^2,4,0.054,0.046,0.037,
127,10^2,84,0.033,0.034,0.039,
128,10^2,58,0.038,0.038,0.037,
129,10^2,54,0.043,0.035,0.042,
130,10^2,15,0.035,0.038,0.035,
131,10^2,81,0.033,0.030,0.032,
132,10^2,96,0.028,0.047,0.050,
133,10^2,93,0.030,0.028,0.044,
134,10^2,99,0.037,0.041,0.050,
135,10^2,60,0.035,0.042,0.033,
136,10^2,95,0.042,0.039,0.039,
137,10^2,84,0.039,0.036,0.032,
138,10^2,94,0.034,0.032,0.028,
139,10^2,20,0.025,0.035,0.041,
140,10^2,81,0.032,0.027,0.034,
141,10^2,56,0.036,0.038,0.036,
142,10^2,29,0.039,0.039,0.028,
143,10^2,92,0.039,0.031,0.028,
144,10^2,58,0.045,0.031,0.033,
145,10^2,76,0.032,0.038,0.035,
146,10^2,19,0.046,0.033,0.039,
147,10^2,68,0.033,0.036,0.043,
148,10^2,33,0.039,0.042,0.035,
149,10^2,50,0.030,0.036,0.035,
150,10^2,96,0.031,0.033,0.040,
151,10^2,52,0.024,0.032,0.038,
152,10^2,74,0.034,0.037,0.038,
153,10^2,64,0.035,0.027,0.033,
154,10^2,45,0.040,0.026,0.035,
155,10^2,65,0.029,0.033,0.035,
156,10^2,82,0.030,0.035,0.037,
157,10^2,16,0.038,0.037,0.031,
158,10^2,24,0.044,0.035,0.028,
159,10^2,29,0.061,0.044,0.036,
160,10^2,42,0.040,0.040,0.036,
161,10^2,50,0.040,0.030,0.036,
162,10^2,24,0.037,0.034,0.036,
163,10^2,24,0.023,0.040,0.032,
164,10^2,29,0.032,0.033,0.035,
165,10^2,63,0.032,0.031,0.038,
166,10^2,90,0.037,0.034,0.026,
167,10^2,43,0.027,0.028,0.033,
168,10^2,44,0.036,0.040,0.031,
169,10^2,77,0.044,0.029,0.028,
170,10^2,91,0.037,0.031,0.037,
171,10^2,48,0.027,0.026,0.034,
172,10^2,47,0.037,0.050,0.035,
